epoch,accuracy,loss,lr,roc_auc,val_accuracy,val_loss,val_roc_auc
0,0.1780543029308319,2.177521228790283,0.001,0.5137907862663269,0.40710383653640747,1.7405632734298706,0.7402453422546387
0,0.5355203747749329,1.1735512018203735,0.001,0.8614681959152222,0.6072404384613037,1.026628851890564,0.8938606977462769
1,0.5531674027442932,1.1353176832199097,0.001,0.8698731660842896,0.6065573692321777,1.0227261781692505,0.8954168558120728
2,0.5680995583534241,1.120033621788025,0.001,0.873790979385376,0.5901639461517334,1.0677344799041748,0.8889168500900269
3,0.580995500087738,1.0905802249908447,0.001,0.8809956312179565,0.6079235076904297,1.0422799587249756,0.8947343230247498
4,0.5952488780021667,1.0749567747116089,0.001,0.8848705291748047,0.5942623019218445,1.0561777353286743,0.8931846022605896
5,0.5945701599121094,1.0539170503616333,0.00080000004,0.8886265754699707,0.6222677826881409,0.9922145009040833,0.9037238955497742
6,0.6090497970581055,1.0275318622589111,0.00080000004,0.8945096731185913,0.623633861541748,1.0186903476715088,0.9007726907730103
7,0.6009050011634827,1.0236001014709473,0.00080000004,0.8951755166053772,0.6168032884597778,1.032720923423767,0.89887934923172
8,0.6192307472229004,0.9906895160675049,0.00080000004,0.901721179485321,0.6174863576889038,1.0244051218032837,0.9007478356361389
9,0.6183257699012756,0.9965741038322449,0.00064000004,0.9011497497558594,0.6147540807723999,1.053267240524292,0.8978825807571411
10,0.6309954524040222,0.9515470266342163,0.00064000004,0.909338116645813,0.6017759442329407,1.1148405075073242,0.8907661437988281
11,0.6287330389022827,0.9475347399711609,0.00064000004,0.910061240196228,0.6393442749977112,0.994287371635437,0.9067015647888184
12,0.6457013487815857,0.9414725303649902,0.00051200006,0.9112280607223511,0.6502732038497925,0.9744319319725037,0.9089691042900085
13,0.6536198854446411,0.9167223572731018,0.00051200006,0.915819525718689,0.6482240557670593,1.023424506187439,0.9026326537132263
14,0.6475113034248352,0.9160709977149963,0.00051200006,0.9160446524620056,0.6475409865379333,0.9897605776786804,0.9081307649612427
15,0.6633484363555908,0.9094749093055725,0.00051200006,0.9176909923553467,0.6400273442268372,1.0247564315795898,0.9031432867050171
16,0.6644796133041382,0.9033088088035583,0.00040960003,0.9186821579933167,0.6495901346206665,1.0344998836517334,0.9028184413909912
17,0.6674208045005798,0.8704245686531067,0.00040960003,0.9241005778312683,0.6625683307647705,0.9734553694725037,0.9109504818916321
18,0.6737556457519531,0.8717797994613647,0.00040960003,0.9236105680465698,0.6564207673072815,1.0556827783584595,0.9007294774055481
19,0.6785067915916443,0.8557714819908142,0.00040960003,0.9267352223396301,0.6687158346176147,0.962081253528595,0.913297712802887
20,0.6764705777168274,0.836524486541748,0.00040960003,0.9294570088386536,0.6564207673072815,1.0196939706802368,0.9068315625190735
21,0.6823529601097107,0.8460620641708374,0.00040960003,0.9280598759651184,0.6687158346176147,0.980545699596405,0.9110376834869385
22,0.6936651468276978,0.8238914608955383,0.00040960003,0.931666910648346,0.6659836173057556,1.0215827226638794,0.9081679582595825
23,0.6907239556312561,0.8143683671951294,0.00032768003,0.9336172938346863,0.6680327653884888,0.9921380281448364,0.9111045598983765
24,0.688687801361084,0.81864333152771,0.00032768003,0.9323825836181641,0.6646174788475037,0.9885126948356628,0.9128711223602295
25,0.6957013607025146,0.7972080707550049,0.00032768003,0.9358115196228027,0.6598360538482666,1.0333775281906128,0.9085121750831604
26,0.7009049654006958,0.7938410639762878,0.00026214402,0.9365937113761902,0.6844262480735779,0.9522607326507568,0.9173251986503601
27,0.706108570098877,0.7713266611099243,0.00026214402,0.9404569268226624,0.6612021923065186,1.029710054397583,0.9084445834159851
28,0.7187782526016235,0.7632004618644714,0.00026214402,0.9413295984268188,0.6755464673042297,0.9621750712394714,0.9165607690811157
29,0.7178732752799988,0.7710519433021545,0.00026214402,0.9401789307594299,0.6741803288459778,0.9851762056350708,0.9137938618659973
30,0.7208144664764404,0.7405989170074463,0.00020971522,0.9446784853935242,0.6632513403892517,1.008963942527771,0.9112160205841064
31,0.7194570302963257,0.748725175857544,0.00020971522,0.9435941576957703,0.6898906826972961,0.9520817995071411,0.9190786480903625
32,0.7185520529747009,0.7423201203346252,0.00020971522,0.9443114399909973,0.6666666865348816,0.9881296753883362,0.9147434234619141
33,0.7230769395828247,0.7386086583137512,0.00020971522,0.9450140595436096,0.6837431788444519,0.9723958373069763,0.9151866436004639
34,0.7253393530845642,0.733489990234375,0.00020971522,0.9450029730796814,0.681693971157074,0.9712771773338318,0.9177824854850769
35,0.7314479351043701,0.7221058011054993,0.00016777217,0.9471689462661743,0.6728141903877258,1.0036194324493408,0.9140934348106384
36,0.7319004535675049,0.7078171372413635,0.00016777217,0.9493501782417297,0.6803278923034668,0.9994221925735474,0.9143760204315186
37,0.7380090355873108,0.7031428813934326,0.00016777217,0.9497390985488892,0.6844262480735779,0.9838662147521973,0.9167163968086243
38,0.7393665313720703,0.693725049495697,0.00013421774,0.9512081146240234,0.6926229596138,0.9462295174598694,0.9209319949150085
39,0.7452488541603088,0.6750160455703735,0.00013421774,0.9537023901939392,0.6926229596138,0.9408252239227295,0.9229958653450012
40,0.7402715086936951,0.6886629462242126,0.00013421774,0.9519720077514648,0.6946721076965332,0.9914224743843079,0.9170679450035095
41,0.7416289448738098,0.6996645927429199,0.00013421774,0.9506495594978333,0.681693971157074,1.0038464069366455,0.9161266684532166
42,0.7470588088035583,0.6740304827690125,0.00013421774,0.9540625214576721,0.688524603843689,0.9617919921875,0.920041561126709
43,0.7565611004829407,0.6587846875190735,0.000107374195,0.9557675123214722,0.693989098072052,0.9267569184303284,0.9250783920288086
44,0.7504525184631348,0.682427167892456,0.000107374195,0.9525589942932129,0.6926229596138,0.9449537992477417,0.9225387573242188
45,0.7545248866081238,0.6570076942443848,0.000107374195,0.9559584259986877,0.6830601096153259,0.9884244203567505,0.9172683954238892
46,0.7649321556091309,0.6361856460571289,0.000107374195,0.9587156772613525,0.6960382461547852,0.9410557150840759,0.9235379099845886
47,0.7579185366630554,0.6489210724830627,8.589936e-05,0.9571095705032349,0.6974043846130371,0.9366284012794495,0.924231767654419
